"ASV_id","TAXID","SCIENTIFIC_NAME","BEST_IDENTITY","COUNT","domain","phylum","class","order","family","genus","species"
"MiFish_0000056","None",NA,0,45,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000057","None",NA,0,198,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000058","722560","Archosargus rhomboidalis",0.970588235294118,10375,"Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Archosargus","Archosargus rhomboidalis"
"MiFish_0000059","None",NA,0,17,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000060","None",NA,0,2362,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000061","None",NA,0,17,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000062","None",NA,0,22,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000063","None",NA,0,44,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000064","None",NA,0,15,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000065","None",NA,0,21,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000066","2884370","Lampanyctus acanthurus",0.953757225433526,65,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus acanthurus"
"MiFish_0000067","None",NA,0,106,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000068","None",NA,0,33,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000069","None",NA,0,66878,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000070","None",NA,0,1076,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000071","None",NA,0,24,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000072","None",NA,0,30,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000073","None",NA,0,16,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000074","None",NA,0,15,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000075","None",NA,0,14,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000076","None",NA,0,25,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000077","None",NA,0,26,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000078","None",NA,0,43,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000079","None",NA,0,19,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000080","None",NA,0,23,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000081","None",NA,0,17,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000082","None",NA,0,81,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000083","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000084","None",NA,0,92,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000085","None",NA,0,15,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000086","None",NA,0,82,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000087","None",NA,0,10,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000088","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000089","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000090","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000091","211834","Lutjanus argentimaculatus",0.976331360946746,10696,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000092","40493","Lutjanus",0.988165680473373,10583,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000093","482919","Orthopristis chrysoptera",0.982248520710059,20547,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000094","482919","Orthopristis chrysoptera",0.976331360946746,294,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000095","435274","Gerres cinereus",1,7098,"Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus"
"MiFish_0000096","40493","Lutjanus",0.982248520710059,43,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000097","None",NA,0,28275,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000098","48193","Mugil cephalus",1,156835,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000099","None",NA,0,1362,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000100","40493","Lutjanus",0.982248520710059,35,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000101","None",NA,0,239,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000102","40493","Lutjanus",0.982248520710059,25,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000103","482919","Orthopristis chrysoptera",0.976331360946746,120,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000104","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000105","40493","Lutjanus",0.982248520710059,25,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000106","482919","Orthopristis chrysoptera",0.976331360946746,63,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000107","211834","Lutjanus argentimaculatus",0.970414201183432,61,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000108","211834","Lutjanus argentimaculatus",0.970414201183432,44,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000109","40493","Lutjanus",0.982248520710059,82,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000110","482919","Orthopristis chrysoptera",0.976331360946746,21,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000111","482919","Orthopristis chrysoptera",0.976331360946746,35,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000112","482919","Orthopristis chrysoptera",0.976331360946746,83,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000113","482919","Orthopristis chrysoptera",0.976331360946746,52,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000114","482919","Orthopristis chrysoptera",0.964705882352941,15,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000115","48193","Mugil cephalus",0.982456140350877,367,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000116","None",NA,0,64,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000117","211834","Lutjanus argentimaculatus",0.970414201183432,29,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000118","40493","Lutjanus",0.982248520710059,11,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000119","40493","Lutjanus",0.982248520710059,30,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000120","None",NA,0,16,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000121","482919","Orthopristis chrysoptera",0.976331360946746,86,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000122","482919","Orthopristis chrysoptera",0.976331360946746,55,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000123","435274","Gerres cinereus",0.994082840236686,22,"Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus"
"MiFish_0000124","48193","Mugil cephalus",0.994152046783626,3432,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000125","None",NA,0,291,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000126","211834","Lutjanus argentimaculatus",0.970414201183432,25,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000127","435274","Gerres cinereus",0.994082840236686,55,"Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus"
"MiFish_0000128","None",NA,0,19,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000129","482919","Orthopristis chrysoptera",0.976331360946746,28,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000130","None",NA,0,24,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000131","211834","Lutjanus argentimaculatus",0.964705882352941,981,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000132","None",NA,0,49,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000133","40493","Lutjanus",0.982248520710059,20,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000134","211834","Lutjanus argentimaculatus",0.970414201183432,24,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000135","None",NA,0,74,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000136","None",NA,0,28,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000137","36213","Abudefduf",1,33368,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000138","36213","Abudefduf",0.994082840236686,57,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000139","None",NA,0,34,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000140","None",NA,0,18,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000141","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000142","36213","Abudefduf",0.994082840236686,65,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000143","36213","Abudefduf",0.994082840236686,57,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000144","None",NA,0,10,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000145","36213","Abudefduf",0.994082840236686,26,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000146","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000147","36213","Abudefduf",0.994082840236686,69,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000148","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000149","36213","Abudefduf",0.994082840236686,71,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000150","50731","Abudefduf saxatilis",1,11,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf","Abudefduf saxatilis"
"MiFish_0000151","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000152","36213","Abudefduf",0.994082840236686,346,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000153","36213","Abudefduf",0.994082840236686,45,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000154","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000155","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000156","36213","Abudefduf",0.988165680473373,558,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000157","153621","Mycteroperca bonaci",0.964497041420118,5838,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci"
"MiFish_0000158","153621","Mycteroperca bonaci",0.958579881656805,27,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci"
"MiFish_0000159","None",NA,0,92,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000160","153621","Mycteroperca bonaci",0.958579881656805,17,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci"
"MiFish_0000161","153621","Mycteroperca bonaci",0.958579881656805,450,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci"
"MiFish_0000162","None",NA,0,67,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000163","36213","Abudefduf",0.994082840236686,141,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000164","153621","Mycteroperca bonaci",0.958579881656805,14,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci"
"MiFish_0000165","36213","Abudefduf",0.994082840236686,42,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000166","None",NA,0,15,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000167","36213","Abudefduf",0.994082840236686,38,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000168","36213","Abudefduf",0.994082840236686,305,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000169","36213","Abudefduf",0.994082840236686,209,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000170","None",NA,0,116,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000171","36213","Abudefduf",0.994082840236686,125,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA
"MiFish_0000172","None",NA,0,213,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000173","None",NA,0,3946,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000174","None",NA,0,92,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000175","None",NA,0,96,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000176","None",NA,0,23,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000177","None",NA,0,250,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000178","None",NA,0,31,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000179","None",NA,0,93,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000180","None",NA,0,14,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000181","None",NA,0,56,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000182","None",NA,0,10,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000183","None",NA,0,36,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000184","None",NA,0,23,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000185","None",NA,0,89,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000186","None",NA,0,111,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000187","None",NA,0,26,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000188","None",NA,0,21,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000189","None",NA,0,14,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000190","None",NA,0,44,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000191","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000192","None",NA,0,16,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000193","None",NA,0,42,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000194","None",NA,0,26,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000195","None",NA,0,34,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000196","None",NA,0,15,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000197","None",NA,0,14,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000198","None",NA,0,18,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000199","8234","Thunnus",1,3157,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus",NA
"MiFish_0000200","1489872","Percomorphaceae",1,6080,"Eukaryota","Chordata","Actinopteri",NA,NA,NA,NA
"MiFish_0000201","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000202","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000203","1489872","Percomorphaceae",0.994047619047619,21,"Eukaryota","Chordata","Actinopteri",NA,NA,NA,NA
"MiFish_0000204","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000205","None",NA,0,35,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000206","8227","Euthynnus affinis",1,1212,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Euthynnus","Euthynnus affinis"
"MiFish_0000207","1489872","Percomorphaceae",0.994047619047619,15,"Eukaryota","Chordata","Actinopteri",NA,NA,NA,NA
"MiFish_0000208","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000209","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000210","None",NA,0,10,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000211","None",NA,0,272,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000212","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000213","None",NA,0,33,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000214","None",NA,0,21,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000215","531323","Anisotremus scapularis",0.982248520710059,4205,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Anisotremus","Anisotremus scapularis"
"MiFish_0000216","None",NA,0,62411,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000217","None",NA,0,4054,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000218","334415","Haemulon plumierii",0.952662721893491,21313,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Haemulon","Haemulon plumierii"
"MiFish_0000219","168377","Sphoeroides annulatus",0.994117647058824,25351,"Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus"
"MiFish_0000220","None",NA,0,154,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000221","1167616","Epinephelus bontoides",0.970414201183432,2363,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus bontoides"
"MiFish_0000222","48194","Mugil curema",1,24968,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil curema"
"MiFish_0000223","332418","Eucinostomus melanopterus",0.97093023255814,41840,"Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus"
"MiFish_0000224","None",NA,0,8116,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000225","None",NA,0,110,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000226","None",NA,0,124,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000227","173312","Caranx hippos",0.994082840236686,52,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Caranx","Caranx hippos"
"MiFish_0000228","None",NA,0,110,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000229","1232744","Muraena lentiginosa",0.982248520710059,99,"Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Muraena","Muraena lentiginosa"
"MiFish_0000230","None",NA,0,1029,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000231","None",NA,0,618,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000232","None",NA,0,203,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000233","None",NA,0,382,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000234","398654","Pontinus macrocephalus",0.970238095238095,1250,"Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Pontinus","Pontinus macrocephalus"
"MiFish_0000235","168377","Sphoeroides annulatus",0.988235294117647,38,"Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus"
"MiFish_0000236","None",NA,0,884,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000237","332418","Eucinostomus melanopterus",0.976744186046512,814,"Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus"
"MiFish_0000238","None",NA,0,328,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000239","48193","Mugil cephalus",0.994152046783626,656,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000240","None",NA,0,162,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000241","None",NA,0,89,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000242","48193","Mugil cephalus",0.953216374269006,10,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000243","None",NA,0,1332,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000244","None",NA,0,333,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000245","None",NA,0,100,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000246","None",NA,0,64,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000247","48193","Mugil cephalus",0.988304093567252,236,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000248","None",NA,0,21,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000249","722433","Conodon nobilis",0.952662721893491,1326,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Conodon","Conodon nobilis"
"MiFish_0000250","None",NA,0,194,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000251","None",NA,0,948,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000252","336262","Dorosoma cepedianum",0.954285714285714,552,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Dorosoma","Dorosoma cepedianum"
"MiFish_0000253","None",NA,0,34,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000254","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000255","None",NA,0,31,NA,NA,NA,NA,NA,NA,NA
